Ticket,Time,Type,Volume,Price
2,2026.01.06 13:00:00,BUY,0.01,4463.93
3,2026.01.06 14:33:40,SELL,0.01,4475.49
4,2026.01.09 12:00:00,SELL,0.02,4475.00
5,2026.01.09 12:00:40,BUY,0.02,4475.50
6,2026.01.30 02:00:00,BUY,0.02,5300.20
7,2026.01.30 02:00:40,SELL,0.02,5299.70
8,2026.02.12 14:00:00,SELL,0.02,5075.10
9,2026.02.12 14:00:20,BUY,0.02,5075.60
10,2026.02.13 08:00:00,BUY,0.02,4975.19
11,2026.02.13 08:00:20,SELL,0.02,4974.69
12,2026.02.13 11:00:00,BUY,0.02,4949.93
13,2026.02.13 11:00:20,SELL,0.02,4950.93
14,2026.02.20 05:00:00,BUY,0.02,5000.05
15,2026.02.20 05:00:20,SELL,0.02,4999.55
16,2026.02.25 11:00:00,BUY,0.02,5175.13
17,2026.02.25 11:00:40,SELL,0.02,5174.63
18,2026.02.27 01:00:00,BUY,0.02,5175.02
19,2026.02.27 01:00:40,SELL,0.02,5174.52
20,2026.02.27 20:00:00,BUY,0.01,5250.15
21,2026.02.27 20:21:40,SELL,0.01,5257.41
22,2026.03.10 07:00:00,SELL,0.02,5175.04
23,2026.03.10 07:00:20,BUY,0.02,5175.54
24,2026.03.10 12:00:00,SELL,0.02,5175.01
25,2026.03.10 12:00:20,BUY,0.02,5174.01
26,2026.03.11 06:00:00,BUY,0.02,5199.85
27,2026.03.11 06:00:40,SELL,0.02,5199.35
28,2026.03.17 09:00:00,BUY,0.02,5025.13
29,2026.03.17 09:00:20,SELL,0.02,5024.63
30,2026.03.17 11:00:00,SELL,0.02,5000.03
31,2026.03.17 11:00:20,BUY,0.02,5000.53
32,2026.03.17 20:00:00,SELL,0.02,5000.11
33,2026.03.17 20:00:40,BUY,0.02,5000.61
34,2026.03.24 20:00:00,SELL,0.02,4400.00
35,2026.03.24 20:00:20,BUY,0.02,4399.00
36,2026.03.26 10:00:00,SELL,0.01,4423.50
37,2026.03.26 13:45:40,BUY,0.01,4459.43
38,2026.03.31 13:00:00,BUY,0.02,4574.90
39,2026.03.31 13:00:40,SELL,0.02,4575.90
40,2026.04.23 04:00:00,SELL,0.01,4703.71
41,2026.04.23 17:46:40,BUY,0.01,4668.28
