date,time,session,dir,rsi,close,sl_pts,tp_pts,risk_usd,reward,pnl,result,equity,pnl_pct,daily_pnl,month
2025-04-21,07:30,Asian,SHORT,67.4,3403.24,2.6,20.83,500.0,4000.0,-500.0,LOSS,49500.0,-1.0,-500.0,2025-04
2025-04-23,20:30,NY_Open,SHORT,65.5,3332.84,3.86,30.85,495.0,3960.0,-495.0,LOSS,49005.0,-1.99,-495.0,2025-04
2025-04-28,14:00,London,SHORT,68.0,3337.66,3.23,25.84,490.05,3920.4,-490.05,LOSS,48514.95,-2.97,-490.05,2025-04
2025-04-28,14:30,London,SHORT,71.3,3346.8,3.36,26.91,485.15,3881.2,-485.15,LOSS,48029.8,-3.94,-975.2,2025-04
2025-04-30,07:00,Asian,LONG,34.2,3275.84,3.96,31.69,480.3,3842.38,-480.3,LOSS,47549.5,-4.9,-480.3,2025-04
2025-04-30,20:30,NY_Open,LONG,27.0,3247.64,5.04,40.29,475.5,3803.96,-475.5,LOSS,47074.01,-5.85,-955.79,2025-04
2025-04-30,21:00,NY_Open,LONG,25.6,3243.36,5.44,43.48,470.74,3765.92,-470.74,LOSS,46603.27,-6.79,-1426.53,2025-04
2025-05-01,07:30,Asian,LONG,33.9,3213.98,2.89,23.1,466.03,3728.26,-466.03,LOSS,46137.23,-7.73,-466.03,2025-05
2025-05-01,08:00,Asian,LONG,31.1,3206.48,3.33,26.65,461.37,3690.98,3690.98,WIN,49828.21,-0.34,3224.95,2025-05
2025-05-05,07:00,Asian,SHORT,83.3,3316.26,3.61,28.89,498.28,3986.26,-498.28,LOSS,49329.93,-1.34,-498.28,2025-05
2025-05-05,14:30,London,SHORT,66.0,3320.94,2.5,19.97,493.3,3946.39,-493.3,LOSS,48836.63,-2.33,-991.58,2025-05
2025-05-05,21:00,NY_Open,SHORT,75.1,3361.74,3.75,30.03,488.37,3906.93,-488.37,LOSS,48348.27,-3.3,-1479.95,2025-05
2025-05-06,14:00,London,SHORT,65.9,3411.8,2.98,23.82,483.48,3867.86,-483.48,LOSS,47864.78,-4.27,-483.48,2025-05
2025-05-06,14:30,London,SHORT,67.7,3415.98,2.65,21.21,478.65,3829.18,3829.18,WIN,51693.97,3.39,3345.7,2025-05
2025-05-08,14:00,London,LONG,34.2,3308.36,5.38,43.03,516.94,4135.52,-516.94,LOSS,51177.03,2.35,-516.94,2025-05
2025-05-11,20:30,NY_Open,LONG,30.7,3274.42,4.84,38.7,511.77,4094.16,-511.77,LOSS,50665.26,1.33,-511.77,2025-05
2025-05-12,07:30,Asian,LONG,34.9,3219.36,3.97,31.77,506.65,4053.22,4053.22,WIN,54718.48,9.44,4053.22,2025-05
2025-05-14,08:00,Asian,LONG,33.0,3213.36,2.84,22.75,547.18,4377.48,-547.18,LOSS,54171.29,8.34,-547.18,2025-05
2025-05-14,14:15,London,LONG,34.6,3177.1,2.89,23.14,541.71,4333.7,-541.71,LOSS,53629.58,7.26,-1088.9,2025-05
2025-05-15,14:00,London,SHORT,68.8,3224.24,2.75,22.03,536.3,4290.37,-536.3,LOSS,53093.28,6.19,-536.3,2025-05
2025-05-16,07:00,Asian,LONG,28.3,3171.0,4.33,34.63,530.93,4247.46,-530.93,LOSS,52562.35,5.12,-530.93,2025-05
2025-05-16,08:00,Asian,LONG,28.3,3164.5,4.88,39.01,525.62,4204.99,4204.99,WIN,56767.34,13.53,3674.06,2025-05
