date,time,dir,rsi,close,sl_pts,tp_pts,risk_usd,reward_usd,pnl,result,equity,daily_pnl
2025-04-28,15:00,SHORT,70.5,3350.62,3.08,3.08,25.0,25.0,25.0,WIN,50025.0,25.0
2025-06-16,14:20,LONG,28.4,3387.96,2.36,2.36,25.0,25.0,25.0,WIN,50050.0,25.0
2025-06-16,14:55,LONG,27.5,3385.16,2.04,2.04,25.0,25.0,-25.0,LOSS,50025.0,0.0
2025-07-02,15:00,SHORT,72.1,3356.12,1.22,1.22,25.0,25.0,25.0,WIN,50050.0,25.0
2025-07-30,14:45,LONG,26.3,3284.9,4.38,4.38,25.0,25.0,-25.0,LOSS,50025.0,-25.0
2025-07-30,14:55,LONG,22.1,3280.02,5.05,5.05,25.0,25.0,25.0,WIN,50050.0,0.0
2025-09-03,14:05,SHORT,70.8,3577.04,1.76,1.76,25.0,25.0,25.0,WIN,50075.0,25.0
2025-09-17,14:05,SHORT,78.9,3704.9,6.1,6.1,25.0,25.0,25.0,WIN,50100.0,25.0
2025-09-17,14:45,LONG,29.2,3655.14,11.74,11.74,25.0,25.0,-25.0,LOSS,50075.0,0.0
2025-09-19,14:00,SHORT,71.2,3679.05,1.8,1.8,25.0,25.0,-25.0,LOSS,50050.0,-25.0
2025-09-19,14:20,SHORT,75.6,3682.54,1.78,1.78,25.0,25.0,25.0,WIN,50075.0,0.0
2025-09-19,14:35,SHORT,72.7,3682.08,1.78,1.78,25.0,25.0,-25.0,LOSS,50050.0,-25.0
2025-09-19,15:00,SHORT,73.4,3683.3,1.35,1.35,25.0,25.0,-25.0,LOSS,50025.0,-50.0
2025-09-22,14:20,SHORT,70.7,3747.22,1.69,1.69,25.0,25.0,25.0,WIN,50050.0,25.0
2025-09-23,14:55,LONG,28.8,3756.6,3.65,3.65,25.0,25.0,25.0,WIN,50075.0,25.0
2025-09-24,14:05,LONG,29.9,3728.72,2.25,2.25,25.0,25.0,25.0,WIN,50100.0,25.0
2025-09-24,15:00,LONG,28.0,3721.22,2.91,2.91,25.0,25.0,25.0,WIN,50125.0,50.0
2025-09-25,14:35,SHORT,70.0,3754.9,3.31,3.31,25.0,25.0,25.0,WIN,50150.0,25.0
2025-10-29,14:40,LONG,29.9,3928.88,15.81,15.81,25.0,25.0,25.0,WIN,50175.0,25.0
2025-11-13,14:00,LONG,28.1,4149.96,9.28,9.28,25.0,25.0,25.0,WIN,50200.0,25.0
2025-11-17,14:30,LONG,24.8,4038.1,6.0,6.0,25.0,25.0,-25.0,LOSS,50175.0,-25.0
2025-11-17,14:40,LONG,18.5,4019.28,7.05,7.05,25.0,25.0,-25.0,LOSS,50150.0,-50.0
2025-11-17,15:00,LONG,23.6,4014.72,8.53,8.53,25.0,25.0,25.0,WIN,50175.0,-25.0
2025-11-24,14:00,SHORT,73.9,4119.16,5.27,5.27,25.0,25.0,25.0,WIN,50200.0,25.0
2026-01-21,14:35,LONG,29.6,4773.28,11.79,11.79,25.0,25.0,-25.0,LOSS,50175.0,-25.0
2026-01-22,14:00,SHORT,75.8,4920.1,5.38,5.38,25.0,25.0,25.0,WIN,50200.0,25.0
2026-01-27,15:00,SHORT,72.2,5118.7,5.84,5.84,25.0,25.0,-25.0,LOSS,50175.0,-25.0
2026-03-09,14:20,SHORT,70.9,5139.18,6.85,6.85,25.0,25.0,25.0,WIN,50200.0,25.0
2026-03-12,14:00,LONG,27.6,5087.1,6.2,6.2,25.0,25.0,25.0,WIN,50225.0,25.0
2026-03-12,14:10,LONG,29.8,5084.68,6.38,6.38,25.0,25.0,25.0,WIN,50250.0,50.0
2026-03-20,14:00,LONG,28.0,4499.9,15.08,15.08,25.0,25.0,25.0,WIN,50275.0,25.0
2026-03-25,14:05,LONG,26.8,4503.5,10.03,10.03,25.0,25.0,-25.0,LOSS,50250.0,-25.0
2026-03-26,15:00,LONG,28.8,4353.52,8.21,8.21,25.0,25.0,25.0,WIN,50275.0,25.0
2026-04-08,14:40,LONG,28.3,4709.12,8.8,8.8,25.0,25.0,25.0,WIN,50300.0,25.0
