time,pnl,equity
2026-01-06 14:33:40,1156.0,101156.0
2026-01-09 12:00:40,-100.0,101056.0
2026-01-30 02:00:40,-100.0,100956.0
2026-02-12 14:00:20,-100.0,100856.0
2026-02-13 08:00:20,-100.0,100756.0
2026-02-13 11:00:20,200.0,100956.0
2026-02-20 05:00:20,-100.0,100856.0
2026-02-25 11:00:40,-100.0,100756.0
2026-02-27 01:00:40,-100.0,100656.0
2026-02-27 20:21:40,726.0,101382.0
2026-03-10 07:00:20,-100.0,101282.0
2026-03-10 12:00:20,200.0,101482.0
2026-03-11 06:00:40,-100.0,101382.0
2026-03-17 09:00:20,-100.0,101282.0
2026-03-17 11:00:20,-100.0,101182.0
2026-03-17 20:00:40,-100.0,101082.0
2026-03-24 20:00:20,200.0,101282.0
2026-03-26 13:45:40,-3593.0,97689.0
2026-03-31 13:00:40,200.0,97889.0
2026-04-23 17:46:40,3543.0,101432.0
